1056 32
0 0 0
0 1 8
0 2 23
0 3 12
0 4 27
0 5 14
0 6 30
0 7 17
0 8 10
0 9 17
0 10 7
0 11 17
0 12 14
0 13 21
0 14 25
0 15 28
0 16 23
0 17 22
0 18 3
0 19 28
0 20 5
0 21 10
0 22 26
0 23 15
0 24 23
0 25 24
0 26 5
0 27 10
0 28 3
0 29 2
0 30 17
0 31 11
1 1 0
1 2 31
1 3 4
1 4 9
1 5 25
1 6 9
1 7 5
1 8 20
1 9 3
1 10 7
1 11 27
1 12 7
1 13 18
1 14 3
1 15 11
1 16 25
1 17 30
1 18 23
1 19 5
1 20 23
1 21 24
1 22 17
1 23 4
1 24 28
1 25 19
1 26 12
1 27 7
1 28 10
1 29 28
1 30 3
1 31 22
2 2 0
2 3 21
2 4 21
2 5 31
2 6 12
2 7 9
2 8 30
2 9 29
2 10 12
2 11 7
2 12 7
2 13 3
2 14 15
2 15 8
2 16 19
2 17 7
2 18 17
2 19 8
2 20 12
2 21 13
2 22 17
2 23 23
2 24 27
2 25 9
2 26 24
2 27 12
2 28 11
2 29 26
2 30 2
2 31 29
3 3 0
3 4 4
3 5 28
3 6 23
3 7 12
3 8 16
3 9 6
3 10 29
3 11 18
3 12 20
3 13 13
3 14 24
3 15 18
3 16 27
3 17 10
3 18 29
3 19 11
3 20 28
3 21 2
3 22 3
3 23 5
3 24 15
3 25 27
3 26 11
3 27 2
3 28 9
3 29 20
3 30 5
3 31 8
4 4 0
4 5 24
4 6 5
4 7 3
4 8 27
4 9 10
4 10 24
4 11 31
4 12 24
4 13 12
4 14 31
4 15 26
4 16 2
4 17 4
4 18 21
4 19 31
4 20 3
4 21 23
4 22 10
4 23 8
4 24 30
4 25 28
4 26 14
4 27 31
4 28 20
4 29 30
4 30 15
4 31 30
5 5 0
5 6 13
5 7 15
5 8 25
5 9 20
5 10 15
5 11 9
5 12 27
5 13 24
5 14 3
5 15 15
5 16 17
5 17 25
5 18 24
5 19 27
5 20 19
5 21 8
5 22 2
5 23 16
5 24 9
5 25 8
5 26 30
5 27 3
5 28 26
5 29 21
5 30 20
5 31 10
6 6 0
6 7 30
6 8 2
6 9 15
6 10 28
6 11 2
6 12 22
6 13 12
6 14 19
6 15 14
6 16 17
6 17 14
6 18 16
6 19 12
6 20 24
6 21 9
6 22 7
6 23 10
6 24 17
6 25 24
6 26 6
6 27 18
6 28 12
6 29 22
6 30 16
6 31 3
7 7 0
7 8 10
7 9 28
7 10 24
7 11 17
7 12 30
7 13 5
7 14 29
7 15 13
7 16 11
7 17 4
7 18 25
7 19 21
7 20 18
7 21 31
7 22 21
7 23 23
7 24 10
7 25 12
7 26 18
7 27 2
7 28 14
7 29 11
7 30 6
7 31 30
8 8 0
8 9 15
8 10 15
8 11 19
8 12 26
8 13 17
8 14 11
8 15 30
8 16 16
8 17 29
8 18 26
8 19 15
8 20 17
8 21 27
8 22 7
8 23 9
8 24 9
8 25 19
8 26 21
8 27 31
8 28 11
8 29 21
8 30 27
8 31 7
9 9 0
9 10 19
9 11 18
9 12 27
9 13 31
9 14 30
9 15 8
9 16 16
9 17 21
9 18 2
9 19 8
9 20 17
9 21 12
9 22 25
9 23 11
9 24 12
9 25 15
9 26 6
9 27 23
9 28 26
9 29 7
9 30 31
9 31 13
10 10 0
10 11 11
10 12 10
10 13 10
10 14 11
10 15 30
10 16 24
10 17 17
10 18 14
10 19 12
10 20 20
10 21 26
10 22 15
10 23 9
10 24 26
10 25 29
10 26 8
10 27 25
10 28 22
10 29 11
10 30 7
10 31 18
11 11 0
11 12 19
11 13 22
11 14 22
11 15 28
11 16 24
11 17 28
11 18 4
11 19 28
11 20 22
11 21 29
11 22 2
11 23 26
11 24 13
11 25 24
11 26 14
11 27 3
11 28 8
11 29 24
11 30 14
11 31 8
12 12 0
12 13 6
12 14 11
12 15 5
12 16 16
12 17 14
12 18 31
12 19 29
12 20 29
12 21 29
12 22 8
12 23 14
12 24 10
12 25 24
12 26 12
12 27 5
12 28 6
12 29 24
12 30 11
12 31 16
13 13 0
13 14 12
13 15 17
13 16 11
13 17 14
13 18 10
13 19 16
13 20 12
13 21 27
13 22 12
13 23 27
13 24 8
13 25 19
13 26 20
13 27 14
13 28 19
13 29 10
13 30 9
13 31 7
14 14 0
14 15 6
14 16 14
14 17 21
14 18 23
14 19 31
14 20 31
14 21 26
14 22 11
14 23 15
14 24 12
14 25 2
14 26 24
14 27 23
14 28 24
14 29 13
14 30 31
14 31 3
15 15 0
15 16 20
15 17 11
15 18 18
15 19 19
15 20 15
15 21 22
15 22 20
15 23 7
15 24 28
15 25 2
15 26 9
15 27 31
15 28 29
15 29 5
15 30 25
15 31 6
16 16 0
16 17 27
16 18 15
16 19 16
16 20 27
16 21 19
16 22 26
16 23 27
16 24 8
16 25 24
16 26 17
16 27 3
16 28 7
16 29 3
16 30 10
16 31 20
17 17 0
17 18 11
17 19 15
17 20 2
17 21 9
17 22 14
17 23 10
17 24 8
17 25 18
17 26 12
17 27 21
17 28 14
17 29 18
17 30 23
17 31 12
18 18 0
18 19 5
18 20 22
18 21 17
18 22 19
18 23 22
18 24 13
18 25 11
18 26 18
18 27 29
18 28 14
18 29 4
18 30 15
18 31 21
19 19 0
19 20 20
19 21 18
19 22 14
19 23 4
19 24 31
19 25 29
19 26 25
19 27 6
19 28 23
19 29 15
19 30 15
19 31 24
20 20 0
20 21 22
20 22 6
20 23 14
20 24 19
20 25 15
20 26 13
20 27 26
20 28 21
20 29 20
20 30 31
20 31 21
21 21 0
21 22 30
21 23 29
21 24 26
21 25 13
21 26 6
21 27 25
21 28 18
21 29 8
21 30 19
21 31 30
22 22 0
22 23 20
22 24 10
22 25 26
22 26 14
22 27 8
22 28 31
22 29 17
22 30 29
22 31 18
23 23 0
23 24 23
23 25 23
23 26 24
23 27 5
23 28 5
23 29 30
23 30 27
23 31 13
24 24 0
24 25 8
24 26 18
24 27 31
24 28 2
24 29 20
24 30 18
24 31 21
25 25 0
25 26 31
25 27 4
25 28 16
25 29 21
25 30 25
25 31 28
26 26 0
26 27 21
26 28 16
26 29 19
26 30 19
26 31 19
27 27 0
27 28 7
27 29 22
27 30 24
27 31 23
28 28 0
28 29 25
28 30 13
28 31 10
29 29 0
29 30 19
29 31 27
30 30 0
30 31 24
31 31 0
